"","x","y","date","dx","dy","dist","dt","R2n","abs.angle","rel.angle"
"76442",569822.428388652,7896739.0020207,2010-03-11 18:00:00,-114.339848839794,-85.1176794525236,142.543398262037,1200,1241331337.93727,-2.50166776673783,0.93073819628898
"76443",569708.088539812,7896653.88434125,2010-03-11 18:20:00,-76.8215552348411,-44.510661823675,88.7848543653775,1200,1246221340.76227,-2.61645548142609,-0.114787714688252
"76444",569631.266984577,7896609.37367943,2010-03-11 18:40:00,7.35971046425402,49.5005794838071,50.0447070862679,1200,1249894264.20562,1.42319828752097,-2.24353153823253
"76445",569638.626695041,7896658.87425891,2010-03-11 19:00:00,9.97114075382706,4.01466589421034,10.7490087996413,1200,1250845888.12216,0.382770308338196,-1.04042797918278
"76446",569648.597835795,7896662.88892481,2010-03-11 19:20:00,2.21999640471768,-7.43776660040021,7.76200721714353,1200,1250318070.42948,-1.28073808808503,-1.66350839642323
"76447",569650.8178322,7896655.45115821,2010-03-11 19:40:00,80.5601352822268,42.0211325250566,90.8609430689505,1200,1249959994.59743,0.480787338893901,1.76152542697893
"76448",569731.377967482,7896697.47229073,2010-03-11 20:00:00,-94.5347683465807,255.652599570341,272.571227559724,1200,1245981362.59518,1.92498117519872,1.44419383630482
"76449",569636.843199136,7896953.1248903,2010-03-11 20:20:00,-43.5875360236969,-32.2547231884673,54.2239842189941,1200,1259544319.20304,-2.50452311696478,1.85368101501609
"76450",569593.255663112,7896920.87016711,2010-03-11 20:40:00,-5.10366148408502,-19.1175542939454,19.7870726163848,1200,1261411603.4911,-1.83167447101892,0.672848645945863
"76451",569588.152001628,7896901.75261282,2010-03-11 21:00:00,-16.8718912192853,-16.8203555857763,23.8240440594655,1200,1261179963.85515,-2.357724088192,-0.526049617173083
"76452",569571.280110409,7896884.93225723,2010-03-11 21:20:00,-2.71527450811118,-10.3460318660364,10.6964055190255,1200,1261777821.81615,-1.82745412216514,0.530269966026858
"76453",569568.5648359,7896874.58622537,2010-03-11 21:40:00,-13.6356378821656,-38.6714946851134,41.005062146451,1200,1261650207.37309,-1.90978710780413,-0.0823329856389901
"76454",569554.929198018,7896835.91473068,2010-03-11 22:00:00,-5.10711620468646,-48.6083314726129,48.8758889891486,1200,1261400935.17215,-1.67547894083899,0.234308166965147
"76455",569549.822081814,7896787.30639921,2010-03-11 22:20:00,-4.66001124936156,-15.0659248856828,15.7701552784115,1200,1260313148.34476,-1.87077055345892,-0.195291612619939
"76456",569545.162070564,7896772.24047432,2010-03-11 22:40:00,-0.218925043940544,-1.12454285286367,1.14565474851332,1200,1260176223.91478,-1.76307048663794,0.10770006682098
"76457",569544.94314552,7896771.11593147,2010-03-11 23:00:00,7.75691200327128,-15.562971143052,17.3889549607204,1200,1260157675.75811,-1.10841269676977,0.654657789868172
"76458",569552.700057524,7896755.55296033,2010-03-11 23:20:00,-16.6112341344124,23.9252876648679,29.1264911947002,1200,1259202758.57706,2.17768390963951,-2.99708870077031
"76459",569536.088823389,7896779.47824799,2010-03-11 23:40:00,155.675492731039,31.1579614235088,158.762960406767,1200,1260974571.48665,0.197536769711986,-1.98014713992752
"76460",569691.76431612,7896810.63620942,2010-03-12 00:00:00,210.358092079987,137.885409547016,251.521198051935,1200,1251822751.69052,0.580217577275759,0.382680807563773
"76461",569902.1224082,7896948.52161896,2010-03-12 00:20:00,41.5300547481747,54.0996569339186,68.2020404955312,1200,1242348450.91072,0.916089312318482,0.335871735042723
"76462",569943.652462948,7897002.6212759,2010-03-12 00:40:00,0.46675650740508,-18.2377906739712,18.2437625040668,1200,1241286800.60477,-1.54520909156205,-2.46129840388053
"76463",569944.119219456,7896984.38348522,2010-03-12 01:00:00,120.565762712969,60.5537635190412,134.91798032464,1200,1240718112.10573,0.46544340005391,2.01065249161596
"76464",570064.684982169,7897044.93724874,2010-03-12 01:20:00,143.17762065609,66.0962690571323,157.697646907023,1200,1234812723.28662,0.432490053307136,-0.0329533467467744
"76465",570207.862602825,7897111.0335178,2010-03-12 01:40:00,-23.3990543036489,-44.0362364640459,49.8668814367059,1200,1227673897.4694,-2.05921534848492,-2.49170540179206
"76466",570184.463548521,7897066.99728133,2010-03-12 02:00:00,166.443674539332,131.067968831398,211.854452980681,1200,1227849277.41529,0.667048555053922,2.72626390353884
"76467",570350.90722306,7897198.06525017,2010-03-12 02:20:00,385.122237559757,369.095399577171,533.432799752757,1200,1221219870.77713,0.764151741197497,0.0971031861435748
"76468",570736.02946062,7897567.16064974,2010-03-12 02:40:00,2.62997164262924,-12.1677832836285,12.4487630260353,1200,1208240726.13845,-1.35792867355593,-2.12208041475343
"76469",570738.659432263,7897554.99286646,2010-03-12 03:00:00,0.428356143529527,-0.00163720268756151,0.428359272261181,1200,1207703373.71677,-0.00382204093532969,1.3541066326206
"76470",570739.087788406,7897554.99122926,2010-03-12 03:20:00,114.5396137801,302.586741309613,323.539888021964,1200,1207676606.16714,1.20893025463257,1.2127522955679
"76471",570853.627402187,7897857.57797057,2010-03-12 03:40:00,71.0826950623887,81.2245338652283,107.93597379445,1200,1209916989.31145,0.851888041145031,-0.357042213487542
"76472",570924.710097249,7897938.80250443,2010-03-12 04:00:00,27.703820708557,21.055615497753,34.7971353108426,1200,1208051538.48032,0.649886734540044,-0.202001306604987
"76473",570952.413917957,7897959.85811993,2010-03-12 04:20:00,652.822803628398,313.568923529238,724.225850643656,1200,1206997003.22082,0.447786336695387,-0.202100397844657
"76474",571605.236721586,7898273.42704346,2010-03-12 04:40:00,312.777205545455,90.1904920209199,325.520974992088,1200,1176952991.10998,0.280738248488838,-0.167048088206549
"76475",571918.013927131,7898363.61753548,2010-03-12 05:00:00,30.0381777550792,-12.4990797154605,32.5348907571422,1200,1160987981.88689,-0.394313686224399,-0.675051934713238
"76476",571948.052104886,7898351.11845576,2010-03-12 05:20:00,126.305186604848,45.6599908433855,134.305007081283,1200,1158782809.32628,0.346887511687471,0.74120119791187
"76477",572074.357291491,7898396.77844661,2010-03-12 05:40:00,551.380725552095,292.991401779465,624.391436542055,1200,1152701415.33254,0.488433509901108,0.141545998213637
"76478",572625.738017043,7898689.76984839,2010-03-12 06:00:00,954.195799865411,774.734181180596,1229.10645428716,1200,1129652097.21374,0.681969318949448,0.19353580904834
"76479",573579.933816909,7899464.50402957,2010-03-12 06:20:00,667.6451940689,727.659069173038,987.541303497262,1200,1100766540.89132,0.828382987340806,0.146413668391358
"76480",574247.579010978,7900192.16309874,2010-03-12 06:40:00,358.24610942672,201.404045007192,410.979153077915,1200,1088987909.24458,0.51215747045182,-0.316225516888986
"76481",574605.825120404,7900393.56714375,2010-03-12 07:00:00,17.6563732437789,23.5672915447503,29.4476611444592,1200,1076565232.86608,0.927813980168743,0.415656509716922
"76482",574623.481493648,7900417.13443529,2010-03-12 07:20:00,3.48156057856977,-39.636669177562,39.7892800582487,1200,1076457947.27808,-1.48318432269515,-2.41099830286389
"76483",574626.963054227,7900377.49776611,2010-03-12 07:40:00,317.613354118192,-183.187117882073,366.65482796787,1200,1074826963.62827,-0.523156999518784,0.960027323176367
"76484",574944.576408345,7900194.31064823,2010-03-12 08:00:00,-5.84399926289916,-15.2856619618833,16.3647116991939,1200,1050969047.67197,-1.93596817942889,-1.4128111799101
"76485",574938.732409082,7900179.02498627,2010-03-12 08:20:00,-16.421537534683,-62.2939398642629,64.4220601876051,1200,1050735193.44103,-1.82854630152953,0.10742187789936
